AFP PNPLA2
PSMC2 PSME4
MED17 ZNF442
C3 RXFP3
TUBA1C SPC24
PSMD9 UBC
PARN YWHAZ
OR5H6 OR13J1
TGFBR1 VDAC1
CENPA H4C11
NT5E NT5C1B-RDH14
POLR2E 728929
H3C7 PHF8
PSMD4 PSMD9
PSMB10 CD207
PSMB7 AGPAT2
TAB1 USP19
MEIS1 
LAMB2 MFGE8
NDUFS4 NDUFS5
ASIC2 CLCA1
MED4 ZNF597
CPB1 CTSG
XCL1 CYSLTR2
CD9 SOD1
KPTN CASTOR1
CDKN2A MTA1
OR1S2 OR5AP2
ZNF20 ZNF75A
RAC1 RAB9B
PCNT RNF103-CHMP3
ZFP14 ZFP90
SLC5A1 SLC5A10
H3C2 H4C8
ZNF264 ZNF573
CD9 ITGB3
RPL37 RPL38
PSMD7 PSMA8
KIF21B KIF4A
OR1L4 OR8D1
AGFG1 HGS
ARHGAP5 NGEF
PSEN1 SLC2A5
ADCY1 PRKAR1A
CDK4 E2F2
CNTRL TUBA8
RPL9 RPL23A
GCGR GNB4
RPL32 WDR46
PSME4 CENPT
MCM5 CDC45
ZIM2 ZNF394
CATSPERG KCNU1
MAP3K7 UBE2N
CEACAM6 S100A8
KLHL41 DTL
RBCK1 HECTD2
SCN2A SCN4A
COL6A3 LAMA4
CENPK CENPL
ZNF202 ZNF227
INSR IL1RL1
GNRH2 GNB5
DR1 KAT2A
H2BC6 H4C15
TLE2 TCF7L1
PSMD7 PSME2
OGT MORF4L1
ZNF304 ZNF720
PSMA5 PSMD13
PPP2R5B PPP2R5D
ADCY3 GNB2
PPP2CB ZWILCH
ZNF189 ZNF468
BRD8 WDR5
MRPL48 PTCD3
ADRA2B TAS2R1
ERCC3 POLR2I
PSMC2 PSMD6
LYZ QPCT
MRPL23 MRPL11
GNGT1 ARHGEF5
GRK2 OXT
PRPF19 PPIL1
TPM2 SORBS1
OGG1 H2BC15
PSMC2 PSMD1
SNX3 USP17L10
PSME3 BTBD1
MLH1 NELFA
H2AC14 HDAC8
IFNA4 MAFK
OR52M1 OR5W2
H3-3A SEH1L
CX3CR1 NMUR1
TGOLN2 FCHO1
MAP3K7 UBB
NSF KIF20B
SRSF5 CDC40
PPP2R5E PSMA5
MOV10 TFDP1
OR2G2 OR5B3
NBN GEN1
RPLP1 C1D
PSMC6 PSMD3
PTPN11 IRS2
NBAS ARFGAP2
NCBP1 NUP50
GNB2 GNGT2
ZNF586 ZNF530
KIF13B COPG2
KLHL41 KLHL20
FGF6 HRAS
AHCTF1 TAOK1
SPINK5 LCE2D
IKBKG 884327
RRH GNAT3
RPL12 RPS11
CALM1 CALM3
EEF2 IST1
SPRR2D KLK13
H2AC6 H2AC4
SETD1B TNRC6A
NUP155 CHTOP
EGFR IL33
DNMT3B SAP130
OR4F17 OR5A1
DEGS1 ARPC5
SMAD4 USP17L10
NDRG1 PERP
PSMB6 USP15
VAMP8 AP4S1
RPL34 RPS27L
RGS13 TAS2R30
OR5B2 OR4F21
PSMA3 SHH
LYN 155971
PSMC2 GPR84
MCM2 PSMD7
NPC2 DBNL
ACLY FASN
COL4A4 SPP1
FGF9 SOS1
SLC8A1 SLC24A5
CAMK2B IL3RA
F2 LTBP1
RNF146 USP17L2
OR4C16 OR6S1
UBA3 TRIM41
DEFA1 PGM1
TUBA4A TUBA1B
PSMA5 PSMA8
POLR2F H2BC12
TUBB4A NUDC
PSMB3 PSMD6
ZNF554 ZNF727
PSMD7 RIPK2
C3 PAPPA
PSPN ST8SIA2
BRF1 POLR2L
BNIP1 KIF5A
GRK5 SCTR
CLIP1 RHOD
RPS2 H3C7
CCNC MED31
DIAPH1 VCL
GTF2E1 TAF1
ZNF41 MED7
MXRA8 FAM20A
UBA3 UBE2M
ZNF337 ZNF691
MAD2L1 NDC80
ZNF138 ZNF571
PSMC2 RNF138
EGF CDC37
UBE2C LONRF1
RPL5 WDR3
RPL30 USP33
OR52N2 OR4N5
TSC2 RAB6B
ACTB H3-3A
ATP6V0A1 RETN
CD68 LAIR1
PTGIS AKR1C3
LHCGR VIP
EGFR ZDHHC7
NBN PARP2
CDC34 PSMB2
CDK5RAP2 TPTEP2-CSNK1E
PSMA4 RPS27A
PSMD9 PSME2
BOP1 WDR36
PPP2R5E TAOK1
PTGIS AKR1D1
DZIP3 FBXO11
SHC1 EDEM1
OR5A1 OR51A2
POLR2F POLR2I
RPL39 RPS8
TNRC6B H3C13
GOLGA2 PPP6R1
FANCC FAAP100
ACTB JAK2
BGN VCAN
CALM3 TBC1D1
ADCY8 IFT140
RUNX1 H3C3
ZNF792 ZNF550
GTF2H1 POLR2I
RBBP4 GATAD2A
AHSG VCP
MED6 ZFP1
RPL21 RPS9
IL2RB IL2RG
OBSL1 FBXL19
E2F1 LIN9
SMARCA4 PADI2
PPP2R2A CASC3
H2AX SNCA
FZR1 CDC26
FCHO1 SNX9
A2M ORM1
PARP4 PARP9
PSMD11 PSMD14
GPR17 RGS19
CCL16 P2RY14
KAT2B PRMT6
FGL2 CYSTM1
CAMK2G JAK2
FZD7 SMURF1
ATP11A MAGT1
ESPL1 PMF1
IL3 IL3RA
H4C4 H3C7
GSN H2BC10
CTSV TUBB2B
SMARCD3 GRHL1
PAX3 YEATS2
ZNF77 ZNF785
PSMD13 PSME2
H3C12 MEAF6
UBA1 ASB4
CLTCL1 NECAP2
IL18RAP IL18R1
PQBP1 TXNL4A
DLG4 ADAM22
ZNF26 ZNF875
POLR2C EED
RPL22 RPLP1
CD55 SLCO4C1
POLR2A 728929
TUBB2A KIF9
CEACAM1 CD33
KRT36 KRTAP10-9
PSMA4 PSMD1
MRPS24 MRPL43
TUBB4A ERCC6L
MTOR PHF20
HLA-C TYROBP
FGF10 FGF18
PSMC5 UBC
MRPS10 MRPS34
OR56A5 OR4D10
AP2A1 EPGN
USP9X H2BC4
CEP250 TTBK2
TRAF6 USP17L1
OR1D5 OR8D2
RPS4X 3802042
RAF1 RAP1B
CXADR ICAM4
FGFR2 PDGFA
SRC GNG13
SNRPD1 MAGOHB
TRPM1 TRPC1
NCKAP1L FGL2
S100A9 TLR4
E2F2 TP53
GNA11 P2RY1
H2BC5 H2BC12
DSC3 KRT18
RPL11 RPL21
OR10A5 OR52L1
AKT2 PHLPP1
CEP250 HAUS2
MED30 ZNF709
INPP4B VAC14
ATP6V0C LAMTOR3
ESR1 TFAP2A
AXIN2 USP17L3
MAFF DOCK11
PYGB KCNAB2
POLR2K LSM5
RBBP7 EED
ZW10 KIFC2
POLR3C POLR3A
GCG GPR32
RPL41 RPLP1
OR2T12 OR9Q2
PSME2 RPS27A
PSMB9 PSME3
HLA-E UBC
MRPS35 MRPS6
NRAS PSMC2
RGS7 CXCL12
OR2AG2 OR4K2
RARRES2 SYTL4
PRKAA1 WDR45B
CDC6 ORC6
POLR2D POLR2F
CD47 ARL8A
DNMT3A H4C15
LHCGR GPR83
P2RY11 TSHB
PPBP SLC44A2
TRIM25 TRIM5
COL10A1 COL27A1
POLR2D CDC73
NPY RGS7
MDM4 PRKAA1
SEM1 H2BC9
RPS6 RPS19
PPP2R5B AURKB
PSMA6 PSMD11
CSTF3 THOC7
PSMB7 FBXW8
KPNB1 GSDMD
PSMD10 PSMD14
HOXB2 RXRA
SEM1 FZD7
PSMB11 PSMA8
PCBP2 PRPF19
ING3 MRGBP
CHRM5 PLCB1
PIK3R2 TBXA2R
MMP8 PSMD12
H2AZ1 H2BC17
DEGS1 MAGT1
FCGR3B FGL2
RBX1 FBXO22
SUMO1 H4C4
RPS8 SEC61A1
ANGPT1 IRS2
ACP6 MIGA2
TUBB4A CENPM
ERCC1 RPA1
CDK13 DEFA1B
RBP4 RDH5
MT-CO3 COX18
RPS4Y1 RPS7
RPL21 RPL39L
EFEMP1 LTBP3
ZNF436 ZNF568
GPR39 FFAR2
OR10AG1 OR5M1
HUWE1 FBXO6
TPR NUP155
GTF2E1 GTF2H1
DGCR8 XPO5
TUBB4A HAUS2
POLD1 RFC4
C5AR1 TRH
ARRB1 RAP1A
IL6 H2BC13
PSMB5 PSMD10
OR4D10 OR4K17
NEDD4 UBA52
FGF3 FRS2
H2BC11 LEO1
POLR2D MED1
ANAPC16 H2BC1
PSMD13 RPS27A
GPR27 HTR4
OR6B1 OR2A12
H2BC3 SUPT7L
RPS3 RPS29
H4C9 H2BC4
SUMO3 AURKB
MAPKAPK3 H2BC13
KBTBD6 FBXO17
RPL36AL RPS16
BTRC DTL
LCN2 COTL1
POLR2C PRPF19
CTSL DNM3
SURF4 CLEC4D
ZNF446 ZNF792
USP16 USP30
PSMB8 UBB
C5AR1 OPRK1
OR5J2 OR4C13
H2AC15 USP17L4
RPLP1 RPS27
SPTAN1 ERP44
NUP88 NUP43
RPS25 RPS29
H2BC3 H2BC10
CDK11B TUBGCP3
RPS7 THUMPD1
RPL24 RPS26
WWP1 RNF217
RNF14 ASB9
CD80 MET
USP3 H2BC12
PPP2R1A PSMB9
DNMT1 CBX4
OR8B8 OR2T6
MCM7 POLA1
SPCS2 SEC61B
FTL TPD52
ATP6V0A1 HMGB1
NUP155 NUP42
CNR1 SSTR4
OR12D2 OR51B4
PSMA1 UBB
H2BC6 H2BU1
CDC27 FBXO22
GBA SUMF1
CSTA PCSK6
TP53 H4C6
RPL11 RPL27
RPL22 RPS27A
PSMD10 PSMD11
NFE2 H3C12
FCER1G TNFRSF10D
AKT1 TRAF6
OR2AT4 OR6K3
ACTR3 VAV3
H2AC8 H4C4
FGF23 FGF18
VWF BCAR1
CPT1B DLD
HNRNPK CPSF1
PPARG MED24
PPP2CA RPS19
FGF7 NRG4
ATP1A2 ITPR1
FCN1 IGF2R
UBB RAD18
ZNF12 MED24
PSMC5 PSMD9
PSMD10 PSME2
PPP1CC DYNLL1
PA2G4 BIN2
TAF9B HIPK1
OR1B1 OR8K1
OR6Y1 OR2T33
ATP8A1 ATP10D
ALB SLC10A1
H2AC4 H2BC7
VEGFA MAPKAPK3
RAD51AP1 POLK
NR4A3 H3C7
RAB17 RAB39B
PSMB4 PSMD13
PLIN2 MED9
TCF7 TLE2
CLCNKA RYR2
ALAD DEGS1
NUP93 NUP42
WDTC1 COMMD1
RPL27A RPS15
PSMD11 PSMB11
ZKSCAN7 ZNF454
NUP160 NUP43
PSMD11 RPS27A
EPHB4 ACTR3
FPR1 MAN2B1
GNG3 P2RY10
PSMB1 UBE2G1
ARMC8 CALML5
AKT1 BCL2
TRIM21 STING1
OR2T8 OR51D1
YWHAH CYCS
PRKCA PRKG2
FFAR2 P2RY10
CSTF1 PTBP1
RPL22 RPS27
H2AC7 PSMD13
CSPG4 CSPG5
H2BC7 H4C1
NUP107 NUP37
MMP8 VCL
COL17A1 MMP9
TRAIP KBTBD7
NUP98 PSMD11
PPP2CB WEE1
TCF12 H2BC6
PSMB2 PSMA8
PTEN USP17L27
RPL38 SMG6
TUBA3C TUBA1A
PSMB8 PSMC4
PSMB8 LY96
HSP90AA1 PLK1
OR5K1 OR13H1
FLNB SEC13
AHSG SELP
GNAI3 GNG13
ORM1 SLC15A4
CHD4 H2AC13
PSMA6 PSMF1
RPL32 RPL36
RPS4X EIF3J
GDI2 ATP11B
RPL10A RPS20
FN1 GAS6
RANBP2 ISG15
NLGN4Y SYT9
MED26 ZNF519
DCAF1 RNF25
HLA-DQB2 NCK1
GNG3 POMC
OR5K1 OR14A16
PSMD10 CUL1
CFTR UBA52
PSMA5 PSME4
ZNF562 ZNF101
ZNF510 ZNF679
RPS17 RPS28
ANXA2 ARL8A
PSMC1 PSMD7
GNAT1 GNB1
TUBGCP2 HAUS4
NCBP1 SEH1L
S100A8 CCT2
CCND1 CUL1
PSMB6 PSMD13
UBE2D2 COMMD2
SRSF2 SF3B3
NUP85 PMF1-BGLAP
OR10T2 OR10Z1
PSMB1 PSMB4
POLR2G SLU7
GFRA2 NRAS
RBP3 SDR9C7
OR1B1 OR13J1
H3C14 H2BC1
NAPG YKT6
CD63 COTL1
PSMC2 RPS27A
RPL23 MPHOSPH10
POLR2J POLK
H4C9 H2AZ2
CORT CCL28
RPS20 RPS21
MAP3K7 TAB1
OR56A3 OR6K3
RAP1A CNKSR2
GJB3 TUBB8
SHC2 RASGEF1A
DEFA5 DEFB130A
FBXO6 TRIM71
PKP1 KRTAP5-5
STBD1 SLCO4C1
MRPL35 MRPS36
BLMH PSMA1
KRT86 TCHH
ERCC3 GTF2H3
ZNF548 ZNF676
PSME1 KLHL25
GNB5 NPB
NR6A1 NANOG
KAT5 SUPT20H
FBXL5 COP1
H3C3 H3C6
GJD2 GJB4
H2BC4 MAML2
UBE2R2 UBE2Z
MAPK14 COTL1
NDUFS6 COQ10A
CST3 SIGLEC9
RPS23 SEC61A1
MNAT1 UBA52
FOLR1 LMAN1L
OR12D2 OR51Q1
IGLL1 VPREB1
PFN1 TEX264
PRKAB2 TBP
ERBB4 FGF3
OR5H1 OR5AR1
ATP2A3 NOS1
FGF6 KLB
PROS1 CDC37L1
LCP2 MAP2K7
PSMD2 PSMD6
H2BC15 H2AB1
CXCL12 H2BC13
HTR1F OPN1MW3
MED1 ZNF585B
WRN RMI2
PPARA TGS1
ITGB3BP DSN1
CLTC TFRC
OR52K2 OR10A7
MRPL18 MRPL40
KIF26A KIFC2
KRT75 KRT73
XCR1 ACKR3
AOC2 MTARC2
PPP2CB KL
RPL38 RPS12
H2BC13 H2BC9
GAS6 SCG3
ZNF2 ZNF425
NUP42 NUP43
OR2D2 OR9Q2
SFN TUBA8
KDELR1 KIF1B
PTH SCTR
PRKACB PSMA8
PRDM7 ZNF417
UBE2N ATG7
POLR1C H2BC12
ANAPC10 TRIM39
TMEM115 ARFGAP1
PSMB5 DERL2
ZNF669 ZNF558
H2BC13 POLR1H
PSMD14 USP17L19
DMGDH CHDH
CREBBP NOTCH1
PSMA5 CENPL
NUP107 NUP37
CD44 COL9A1
PSMD6 PSMA8
CAMK2B PPP2R1B
APOBEC1 APOBEC4
PSMA5 PSME1
COL13A1 COL25A1
UBE2D1 CCNA1
ZNF234 ZNF394
OR2J2 OR51Q1
CSF1 P4HB
NCR3 CLEC4G
RPS13 PSMD6
UBA7 UBR1
FBXL20 ASB6
PSMD2 PSME1
PIK3CB PIK3R1
ATXN7 PHF20
ZNF26 ZFP1
GAN ASB10
SNRPB SNRNP25
H3C10 H4C11
KRT73 LCE6A
ANAPC11 ASB18
SEM1 PTTG1
H2AC7 KMT2C
RPL41 RPS25
HDAC3 TNRC6A
RPLP1 EIF3B
P2RY13 TAS2R43
RPL39L WDR36
DEFB114 DEFB131A
PUM2 DCAF17
UBE2C ANAPC5
CENPJ CEP78
GNG11 LPAR3
PDE4D ADCY4
PSMB9 PSME3
CXCR1 SLC44A2
RAE1 NUP37
NCKAP1L RAB4B
ZNF777 ZNF583
RAD51B DOCK9
PSMD8 UBB
TAF7 NUAK1
PRKACA PSME4
KMO SLC36A4
NUP50 155030
DCN BCAN
TBXA2R ARHGEF39
MMP1 CKAP4
VPS36 CHMP3
COPB1 KIF12
MAFG DOCK7
ARHGAP44 RHOV
GTF2F2 NELFB
OR2B2 OR8H1
PSMD9 PSMB11
PSMC4 ELOB
IFI27 IRF2
PSMB6 TGFB1
ANPEP SRP14
POLR2F ZNF143
RRAGC MLST8
LAMC1 MMP8
MAPKAPK5 ATRIP
RAB14 RAB24
MRPS21 MRPS18A
TUBB6 CDCA5
JAK1 KRAS
SEM1 RBX1
PIK3CA FGF19
AP2A1 ARRB2
FES PLXNA3
HNRNPM POLR2B
CTSB OSCAR
RPL36 RPL26L1
AVP GHSR
ADCY2 CX3CL1
SFI1 MZT2B
BDKRB2 OPN1MW
TLN1 MYDGF
OR51G2 OR2AK2
ZNF154 ZFP69
CTSW CDC37L1
ZNF665 ZNF347
ADCY6 ADCY7
GNG4 LPAR6
OR1A2 OR4F5
CALM2 FYN
HSPG2 ADAMTS5
PSMB4 PSMB11
ARHGEF2 ARHGEF12
H3C6 H3C7
RPSA RPL10A
PSMB1 UBE2V1
PRKACA CCP110
HLA-G NPDC1
H2BC8 H3C8
CHN2 DEPDC7
MYO9A RHOF
OR2T12 OR1B1
RBBP4 TFDP2
CDK7 RPA2
PPP2R5B DYNC1LI1
CUL2 PSMA8
SERPINB1 PSMD7
TRIM21 TRIM32
OR1J4 OR2AG2
ZW10 FMNL2
ZW10 SGO1
OR4K1 OR6C76
RBX1 TRAIP
RPL39 TPTEP2-CSNK1E
H4C2 BABAM2
RPS3A RPS27L
OR11H2 OR13H1
NDE1 CENPH
ZNF112 ZNF440
PSMD4 RPL26
ADRA2C TAS2R3
PEX3 GDAP1
MAGOHB FIP1L1
ERCC3 POLR2J
PRKAR1A EHD2
POLH PCLAF
AKT1 PPP2R5A
AP2A2 AP2S1
RAB8A PCNT
CDK4 H4C13
DNAJC3 CPNE3
TTR TICAM2
PSMA5 PSMA7
RPL28 RPS28
UBC H3C2
RAD51B SH2B3
RAC1 DPP7
ITPR2 NOS1
ANGPTL4 FAM120B
USP11 CCNA1
EGFR EPGN
GNB2 LHB
PSMB3 PSMD11
HK3 MAPK1
RAD51 RBBP8
CD4 UBB
CTSB LAIR1
PSMD3 PSME4
OAZ2 PSMC1
PUM2 BTBD6
IQGAP1 FAM114A2
PSMD7 PSMD8
OR5H6 OR1B1
CD4 CD101
MRPL12 MRPS11
PSMD7 PSMD11
ADCY8 CCR5
CCNH ZNF830
SLU7 PUF60
CCK GNG12
PSMC1 PSME3
ACP3 STBD1
H2BC4 H4C11
UGT2A3 UGT2A2
HDAC2 HDAC4
FCN1 SERPINA1
RPS14 UPF3A
GPR31 GAL
ARRB1 RXFP1
DYNC1I2 GOSR2
WIPI2 RPTOR
OR10X1 OR51A2
RACGAP1 TUBA3D
ZNF34 MED30
OR7A17 OR52I2
PRKCD MVP
ADCY7 CXCR1
FUCA1 NFASC
GALNS ITGAX
ZNF3 ZFP14
ARF1 LMNB1
MED15 ZNF333
NRIP1 H2BC10
TGFB1 F11R
GTF2A2 GTF2E1
ITGB3BP CENPK
H3C4 TAF6L
OR4C13 OR2A25
MRPL41 MRPS36
MAPRE1 HAUS7
KRT5 KRTAP27-1
TUBB4A TUBB6
RPL13 RPL18A
MLNR NLN
C3 C9
GNAI3 VIPR2
COL4A6 COL20A1
RPL3 RPS12
CTSD RAP1A
PSMD4 UFL1
BMP1 TMPRSS6
KLHL25 PSMA8
ZNF490 ZNF619
FGL2 SLC15A4
OR10H2 OR5D18
PSMD3 FEM1B
RAB35 RAB37
COL10A1 COLGALT1
THEM4 ACOT12
CAPZB DOCK11
PSMD8 RPS27A
ZNF160 ZNF583
FGF2 FGF20
OR10A4 OR2Z1
H2BC8 H3C11
NDUFC2 NDUFV1
OR2M2 OR2J3
OR2V2 OR4D9
PSMB1 RNF185
RAD51C WRN
MPO SURF4
EPHA2 MYH14
MYH10 MYH11
GPR143 CCL23
PSMB7 PSMD6
GRM1 DLGAP4
NFKB1 UBC
RPL37 RPS2
KLC1 SEC24A
SAA1 H3C14
PSMB6 PSMB10
H2BC10 KAT2B
RPL17 RPL23A
PSMD5 PSMD8
UBE2M PSMD14
PSMA5 PSMB11
H3C8 H4C8
CLIP1 TUBA3D
ZBTB16 ASB13
PSMA7 PSMC4
KIF3C IFT88
H4C15 H3C13
FMNL2 CENPS-CORT
RPL19 RPL35A
UBE2D4 RNF114
BTRC PSMF1
EP300 STAT1
956531 956532
PSMB3 PSMB4
H2BC15 USP22
S100A12 TLR2
ST3GAL4 B3GNT2
PSMB9 PSMD7
GNAI2 RAPGEF3
ZNF792 ZNF560
GTF2H1 TAF9
FGF4 LCK
NUP42 NXF2B
NPY2R GPSM3
SMC1A CDC26
ZNF624 ZNF514
CKAP4 PLAC8
MPHOSPH10 TSR1
PSMB3 PSMB7
ATXN7 H2BC17
DNA2 RMI1
RPL34 RPL36
MET RAC1
PSMF1 DAB2IP
PSMD1 PSMD9
SMC1B H2BU1
POLR2A CCNK
H2AC8 USP4
H4C3 H4-16
H2BC3 H2AC18
ZWILCH CENPQ
PSMA5 UBB
GTF2H4 TAF3
ART3 CNTN3
AADAC AOC3
MAGOH SNRNP200
OR4X2 OR5B2
ACTB H2AC17
H2BC7 AGO2
PSMA5 ELOB
COL3A1 CXADR
RBBP6 FBXW2
ZWINT ANAPC2
PSMA2 PSMD2
QSOX1 ACTR10
CTSS FAF2
MYD88 ICOS
UBA3 FBXW11
GNG10 GNGT1
AAAS POM121
POLR2H H4C9
PSME2 TUBA8
H2AX H2AB1
RPS18 RPS28
OR2T34 OR14A16
FFAR1 NMB
ZNF20 ZNF517
USF2 H2AC18
ATXN7 USP17L30
OR13A1 OR4C5
PSMB11 PMF1-BGLAP
H2AC20 PSME3
PSMB10 PSMD11
RPS27A NALCN
PSME2 PSME4
PSMD2 PSMD6
IL2RB LCK
ATR CCNA2
CDK4 E2F1
GPC6 B4GALT7
CALM3 DDAH1
PPP2R1B PPP2R5D
TXN2 NCF1
RELA MED14
CTSG ATP11A
MYD88 PSMC2
SHC2 FGF22
SNAP23 MLEC
KLHL22 DCUN1D3
POLR2K ELOB
H4C6 H2BC11
PSMD7 SKP1
ETS1 TFDP1
RPS27A ANAPC16
KIF11 TUBA1A
CCNH GTF2F1
IFNA10 SH2B1
CAPZA1 PLA2G6
PSMC4 UBB
PRKDC H2BC4
VAPA RAP2C
H2AZ2 H4C15
XPC NUP160
PLK1 AURKB
REEP2 OR2S2
RBCK1 PEDS1-UBE2V1
PSME2 RNF146
NEDD4L UBR1
NXF1 NUP50
FPR1 PMCH
PSMB10 SKP2
SCG2 FSTL3
AP2A1 STON2
OR4F4 OR6F1
TSC2 DYNLL1
PIP NIPA2
HERC3 RNF19A
SHH NUMB
RAD51 H2AJ
OR56B4 OR8K3
MRE11 MLH3
SH3GL1 SYT2
PTPRN2 TCN1
PSMC5 SKP1
GPS2 AGO2
MED24 MED13L
GTF2H3 NELFE
FBL SNU13
ADCY3 TAS2R46
DCUN1D4 FBXO6
AXIN1 USP17L18
OR8B8 OR52E8
NXF1 NUP37
RPL29 RPS27A
CALCA PTGER4
PSMD2 VCP
TUBA4A TAGLN2
UBB MLYCD
ADCY3 PDE7A
CREBBP NCOA2
IFT140 IFT27
MED26 ZNF671
PSMB8 UBA52
CUL7 RNF25
ACTC1 MYH3
H3-4 H2BC10
NUP160 TUBA8
ARRB1 IKBKG
HEXB LAIR1
OR1S1 OR5H14
GABBR2 CCL4L2
FGF6 FGF8
TMEM63A TMBIM1
EIF1AX RPL7A
KANSL2 EP400
NRAS RASA1
LAMP1 S100A7
PRKCQ PSMD8
RAP1A PLAC8
NEDD8 TULP4
DOCK2 ARHGAP9
THOP1 UBE2M
PSMF1 TRIM41
TAF13 INTS5
CETN2 PIAS1
RTP1 OR5H15
ITGA3 MADCAM1
NGFR ARHGEF6
CENPT SGO2
SACM1L INPP5E
ARF4 KLC4
PSMA5 KLHL2
CX3CL1 OXGR1
RPL21 FCF1
H2AC6 H2BC1
H2BC9 H3C6
GTF2F1 NCBP2
DCTN1 SDCCAG8
RPP38 100861532
RPL3 RPS24
PLA2G6 PLBD1
OR4F5 OR8D4
HCRTR2 GPR68
DCN MMP3
HOXB3 NCOA3
PSME2 RASGRP1
OR7A17 OR1S1
RAB4A TBC1D10C
PSMC5 PSMA8
MED24 ZNF583
SHMT1 MTHFD2
KIF2A SGO2
PDIA3 SEC24A
PDPK1 PSMA5
OR5H2 OR52E8
ZNF500 ZNF343
NAE1 DCAF13
ZNF205 MED31
CCNH POLR2B
H2BC14 H2BC1
NBN HIPK1
KRTAP2-4 KRTAP19-3
PSMD2 RHOF
NCBP1 NUP188
JUP LCE2C
FGF2 SOS1
ZFP69 ZNF680
CDC23 ANAPC11
SSRP1 NELFA
HP IMPDH2
GNG7 ZDHHC21
DYNC1I1 NDE1
H2AC8 POLR2L
CCNF FBXW4
GAB2 SHC3
AREG PDGFA
ZNF585B ZNF563
SERPING1 HABP4
APRT MIF
HIF1A SIAH2
SNX3 USP21
RASGRF2 ARHGEF18
ELL EAF1
PCGF2 H2BC13
OXTR PIK3R1
DOCK10 H3C13
PPP2CA ANAPC16
GNAI3 GNG10
AP2A2 CLEC12A
KRT38 KRTAP6-1
TLE2 H4C6
H2BC6 MIS18BP1
MNAT1 UBA52
GNB3 TCF7L2
CLTC MMP9
COL4A1 VCAN
EGF HRAS
HLA-F SFTPD
CPNE3 SLC15A4
ERCC3 POLR1E
ZNF675 ZNF793
RANBP2 SRF
OR52J3 OR4C16
NDUFB11 NDUFS7
CCNH E2F2
MRPL32 MRPL21
SERPINA3 NPC2
MYH10 RAC1
VIP ADCY4
ZNF200 ZNF775
COL3A1 ULBP3
POLR2A POLR2K
CASP8 RIPK1
ADCY8 KCNB1
KCNB1 KCNC2
ARF1 HLA-DRA
GNB1 UTS2R
RPL7A RPS13
WDR43 UTP25
GPI PSMB7
PSMB3 DERL2
ANAPC15 TUBAL3
UBE2D2 ARIH2
PSMB9 HERC6
NUP98 NXT1
HIF1A CUL5
PSMC5 PSMD7
IRS1 PTPRA
KIF3B KLC4
PROKR1 NMUR2
NDE1 TUBA3E
AK4 NME3
PSMA4 PSMB8
MT-CO1 AGO2
UBC FZR1
TUBA3C NUF2
ITPR3 PPP3R1
WNT6 WNT7B
PSMB5 CENPO
BCL2 KDM1A
IMPDH2 TMC6
DYNLL1 DCTN3
PSMB7 GSPT2
CALM3 GNB5
CTSS HLA-DRB5
ZNF436 ZNF774
H2BC13 H2BC4
BMP15 SHISA5
ARCN1 NAPB
ACTC1 MYL4
ACTB NCOA1
FBXL5 SH3RF1
TAS2R5 GNAT3
IRS1 PDGFRB
POFUT2 ADAMTS20
KIF26A RACGAP1
ITPR2 NCK1
PSMB1 PSMC2
HNRNPH2 SRSF3
RPL21 RPL13A
RPL28 RPS4X
CD8A NCR3LG1
MCM6 PSMA4
ESRRA TBL1XR1
RPL13A RPL26L1
CDKN1A FOXO1
KANSL1 MSL1
CD33 CYFIP1
PSMC3 MCEMP1
CENPQ CENPT
GTF2H3 POLR2G
DDB1 PSMA2
H3C12 PRMT6
C1D RPP21
TAF7 RAD9B
IL4R MMP2
OR2T11 OR8D1
GNG10 ARHGEF9
ARHGEF3 ARHGEF33
PSMD11 RPL10L
CSTF2 SNRNP200
PSMB2 PSMD9
KNL1 SKA2
N6AMT1 RPS27L
PSMA4 PSMA5
EXOSC7 XRN1
SMARCC2 H4C15
FGL2 ATP11A
H3-3A H2BC14
H2AC8 SAP130
AGPAT2 AGPAT3
HGS VPS36
WDR3 RRP7A
EZH2 H2AC14
H4C14 RNF168
CYP4F8 CYP4F22
RHOB MRTFA
GREB1 H2AB1
PSMD9 PSME4
PSMB5 DYNLL1
CD44 ADAMTS5
OR5A2 OR51V1
CCL21 OXER1
PGLYRP1 GLIPR1
ORM2 LPCAT1
OGT ACTR8
ZNF426 ZNF587
H2BC8 H3C11
CXCL1 CXCR6
PSMA7 TRAF7
IKBKB IKBKG
RPL29 DDX47
PRCC CPSF4
LPAR3 SUCNR1
MPHOSPH10 NOC4L
CHD4 H2BC3
RAP1B TMC6
ZNF331 ZNF461
CUL1 RCHY1
PLCE1 PLCD4
CDC20 NDC80
OR5V1 OR4X2
RAB6A DENND4A
TINF2 H4-16
FGF5 KRAS
DOCK1 NCKAP1L
ZNF706 ZNF490
PCTP ACBD7
RPL18A RPS6
PLK1 TUBA3E
PSMD2 TCF12
CDK9 CTDP1
RPS27A H2BC11
FGL2 SVIP
PDYN ECE2
H3C12 H4C12
OR4C6 OR51I1
TRAIP ANAPC4
TERT H3C15
H3C12 H3C14
BIRC3 MDM2
PSMB10 PSMD13
AXIN1 USP2
UBC TNRC6B
UBA7 TBK1
FGFR3 FGF23
MAPK1 FRS2
RBBP4 ASH2L
PSMD11 CPNE3
ACP3 PSMD6
